titulo,vinculo,resumen 
b'Mental health care in Germany',b'https://link.springer.com/article/10.1007/s00406-006-0696-9',"b'Germany turned towards community-based mental health care in the mid seventies, during a general climate of social and political reform. The continuing deinstitutionalisation process and the implementation of community mental health services was considerably affected by\xc2\xa0\xe2\x80\xa6'"
b'Who is at risk of nondetection of mental health problems in primary care?',b'https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1525-1497.2000.12088.x',b'OBJECTIVE: To determine patient and provider characteristics associated with increased risk of nondetection of mental health problems by primary care physicians. DESIGN: Cross-sectional patient and physician surveys conducted as part of the Medical Outcomes Study\xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] Mental health and disasters',b'https://books.google.com/books?hl=es&lr=&id=7rkgAwAAQBAJ&oi=fnd&pg=PA7&dq=mental+health%0A&ots=IMSUTdR8yR&sig=081vN3C6GBAdkdHOkJ8dgsdhrL0',"b'Since the attacks of September 11, 2001, disaster preparedness and response has developed into a discrete subspecialty in medicine, and the paramount health care initiative of the US Government. The mental health component of disaster response is a serious\xc2\xa0\xe2\x80\xa6'"
"b""[LIBRO][B] Mental health of Canada's immigrants""",b'http://olip-plio.ca/wp-content/uploads/2015/08/Immigrant-Mental-Health_June22_Branka-Agic1.pdf',"b""Page 1. Mental health of Canada's immigrants Branka Agic, MD, PhD Page 2. Acknowledgements \xe2\x96\xaa\nDr. Kwame McKenzie \xe2\x96\xaa Andrew Tuck \xe2\x96\xaa Michael Antwi Page 3. Outline \xe2\x96\xaa Mental health of Canada's\nimmigrants \xe2\x96\xaa Rates of mental disorders \xe2\x96\xaa Determinants of immigrant mental health \xe2\x96\xaa Barriers and\xc2\xa0\xe2\x80\xa6"""
b'[PDF][PDF] Mental illness and mental health: The two continua model across the lifespan',b'https://link.springer.com/content/pdf/10.1007/s10804-009-9082-y.pdf',"b'Mental health has long been defined as the absence of psychopathologies, such as depression and anxiety. The absence of mental illness, however, is a minimal outcome from a psychological perspective on lifespan development. This article therefore focuses on\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Mental well-being: International contributions to the study of positive mental health',b'https://books.google.com/books?hl=es&lr=&id=_Yv5_LMmPL8C&oi=fnd&pg=PR5&dq=mental+health%0A&ots=7E8_lZNH08&sig=vbkx96lbLZnCRS3z1TbRQ8_CFAM',"b'There is a new generation of research in which scholars are investigating mental health and human development as not merely the absence of illness or dysfunction, but also the presence of subjective well-being. Subjective well-being is a fundamental facet of the quality\xc2\xa0\xe2\x80\xa6'"
b'The mental health of female sex workers',b'https://www.academia.edu/download/54960058/10_roessler_sexwork.pdf',"b'R\xc3\xb6ssler W, Koch U, Lauber C, Hass A\xe2\x80\x90K, Altwegg M, Ajdacic\xe2\x80\x90Gross V, Landolt K. The mental health of female sex workers. Objective: There is limited information available about the mental health of female sex workers. Therefore, we aimed to make a comprehensive\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Pets and mental health',b'https://books.google.com/books?hl=es&lr=&id=v0jJAwAAQBAJ&oi=fnd&pg=PP1&dq=mental+health%0A&ots=ffZYPt4ZaU&sig=Z5cT8CSBNCSnFXi1m2k2Q8sc1jc',"b'This fascinating new book addresses the most recent research and provocative findings on the use of pets in mental health therapy. The historical basis of using pets in therapy is reviewed, and numerous examples are provided of results incurred from prescribing pets to\xc2\xa0\xe2\x80\xa6'"
b'Health and mental health problems of homeless men and women in Baltimore',b'https://jamanetwork.com/journals/jama/article-abstract/378578',"b'A study of homeless people in Baltimore, Md, focused on their health and other characteristics, with special emphasis on their needs for services. In the first stage, 298 men and 230 women were randomly selected from the missions, shelters, and jail in Baltimore to\xc2\xa0\xe2\x80\xa6'"
b'Mental health of deaf people',b'http://sasmhd.org.za/main/wp-content/uploads/2014/04/2012-Lancet-deafmh-review-comment-editorial.pdf',"b'Deafness is a heterogeneous condition with far-reaching effects on social, emotional, and cognitive development. Onset before language has been established happens in about seven per 10 000 people. Increased rates of mental health problems are reported in deaf\xc2\xa0\xe2\x80\xa6'"
b'Community mental health teams',b'https://www.sciencedirect.com/science/article/pii/S1476179306700933',b'Community mental health teams (CMHTs) have evolved alongside the downsizing of mental hospitals. They originated in mental health services in the UK and France in the 1950s and 60s. Generic CMHTs provide assessment and treatment for the population of a defined\xc2\xa0\xe2\x80\xa6'
b'Mental health in college.',b'https://psycnet.apa.org/books/11548/027.pdf',b'This chapter discusses mental health in college. The topics covered include: what are the aims of mental health programs in colleges; what is the history of mental health programs in colleges; what are the major emotional or psychiatric problems with which colleges deal;\xc2\xa0\xe2\x80\xa6'
b'Adolescent mental health\xe2\x80\x94opportunity and obligation',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5069680/',b'Emerging neuroscience offers hope for treatments'
"b""Correlates of Korean immigrants' mental health.""",b'https://psycnet.apa.org/record/1991-09873-001',"b""Investigated structural and situational variables related to 334 male and 288 female Korean immigrants'(aged 20+ yrs) mental health. Data derive from an epidemiologic survey using diagnostic interviews. Ss who were married, highly educated, and currently employed in a\xc2\xa0\xe2\x80\xa6"""
b'Research on the mental health effects of terrorism',b'https://jamanetwork.com/journals/jama/article-abstract/195157',"b'THE TERRORIST ATTACKS OF SEPTEMBER 11, 2001, established a backdrop against which mental health effects of disasters, especially large-scale intentionally created disasters, assumed central stage in US public health. Methodologically sound data are\xc2\xa0\xe2\x80\xa6'"
b'Grandparenthood: An overview of meaning and mental health',b'https://academic.oup.com/gerontologist/article-abstract/22/1/59/637857',"b'This study explored the meaning of grandparenthood to grandparents, the importance of grandparenthood across the life cycle, and the relationship between grandparenthood and mental health. Using qualitative data gathered from 30 grandparents and quantitative data\xc2\xa0\xe2\x80\xa6'"
"b""Children's mental health and school success""",b'https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.932.7267&rep=rep1&type=pdf',"b""An integrative review of literature was undertaken to examine the impact of children's mental health on their school success. The literature confirmed a confluence of problems associated with school performance and child and adolescent mental health. Poor academic\xc2\xa0\xe2\x80\xa6"""
b'The neighborhood context of adolescent mental health',b'https://www.researchgate.net/profile/Clea_Mcneely/publication/14210270_The_Neighborhood_Context_of_Adolescent_Mental_Health/links/54dd10ec0cf28a3d93f88fb6/The-Neighborhood-Context-of-Adolescent-Mental-Health.pdf',"b'Mental health disorders in adolescence are pervasive, often carry into adulthood, and appear to be inversely associated with social status. We examine how structural aspects of neighborhood context, specifically, socioeconomic stratification and racial/ethnic\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Mental health and the Covid-19 pandemic',b'https://www.nejm.org/doi/full/10.1056/NEJMp2008017',b'Mental Health and the Covid-19 Pandemic Many aspects of the Covid-19 pandemic and the public health response to it will undoubtedly contribute to widespread emotional distress and increased risk for psychiatric illness. Health care providers have an important role in\xc2\xa0\xe2\x80\xa6'
b'Impact of economic crises on mental health.',b'https://www.cabdirect.org/cabdirect/abstract/20113192511',"b'The economic crisis is expected to produce secondary mental health effects that may\nincrease suicide and alcohol death rates. However, the mental health effects of the\neconomic crisis can be offset by social welfare and other policy measures. For example\xc2\xa0\xe2\x80\xa6'"
"b'[HTML][HTML] The world health report 2001-Mental health: new understanding, new hope'",b'https://www.scielosp.org/article/bwho/2001.v79n11/1085-1085/en/',"b""Fifty years ago, in one of the first and best major WHO reports, the psychiatrist, John Bowlby, deplored the ''lack of conviction on the part of governments, social agencies, and the public that mother-love in infancy and childhood is as important for mental health as are vitamins\xc2\xa0\xe2\x80\xa6"""
b'Marital transitions and mental health',b'https://journals.sagepub.com/doi/abs/10.1177/002214650404500203',b'Most research identifies marital disruption as a precursor for poor mental health but is generally unable to discount the potential selection effect of poor mental health leading to marital disruption. We use data from nine annual waves of the British Household Panel\xc2\xa0\xe2\x80\xa6'
b'Long-term conditions and mental health: the cost of co-morbidities',b'http://eprints.lse.ac.uk/41873/',"b'More than 4 million people in England with a long-term physical health condition also have mental health problems, and many of them experience significantly poorer health outcomes and reduced quality of life as a result. In terms of NHS spending, at least\xc2\xa3 1 in every\xc2\xa3 8\xc2\xa0\xe2\x80\xa6'"
b'Mental health practice in Arab countries',b'https://journals.lww.com/co-psychiatry/fulltext/2005/09000/Mental_health_practice_in_Arab_countries.19.aspx',"b'The findings have implications for professional service delivery. Further research, intervention and activism are needed in the field of mental health systems in Arab countries to improve awareness of mental health problems. Further research is also needed regarding\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Maternal care and mental health',b'http://pages.uoregon.edu/eherman/teaching/texts/Bowlby%20Maternal%20Care%20and%20Mental%20Health.pdf',"b'It is pleasing that the welcome given to the first edition of this monograph should so soon have necessitated a second. It remains unchanged apart from minor textual corrections, and the addition of an index. In the meantime the plea for further research made in chapter 6 has\xc2\xa0\xe2\x80\xa6'"
b'Attitudes of mental health professionals about mental illness: A review of the recent literature',b'https://www.researchgate.net/profile/Otto_Wahl/publication/229727755_Attitudes_of_mental_health_professionals_about_mental_illness_A_review_of_the_recent_literature/links/5a01d2e1aca272e53ebdf5fd/Attitudes-of-mental-health-professionals-about-mental-illness-A-review-of-the-recent-literature.pdf',"b'A large body of research has documented public attitudes toward people with mental illness. The current attitudes of the people who provide services to those with psychiatric disorders are important to understand, as well. The authors review what studies over the past 5 years\xc2\xa0\xe2\x80\xa6'"
b'Mental health stigma',b'https://www.nber.org/papers/w21240.pdf',"b'Comparing self-reports to administrative records, we find that survey respondents are significantly more likely to under-report mental illnesses compared to other health conditions. This behavior is consistent with the existence of stigma of mental illnesses. We\xc2\xa0\xe2\x80\xa6'"
b'Mental health and health-related quality of life: a 10-year follow-up of tortured refugees',b'https://journals.lww.com/jonmd/Fulltext/2006/10000/Diagnosing_Posttraumatic_Stress_Disorder_in.1.aspx',"b'The aim of the study was to identify predictors of mental symptoms (posttraumatic stress disorder, depression, and anxiety), and of health-related quality of life in refugees 10 years after referral to the Rehabilitation and Research Centre for Torture Victims, and to study\xc2\xa0\xe2\x80\xa6'"
